periodo_cfe,Hora,Día,Temporada
Base,03:15,2,Verano
Base,03:30,2,Verano
Base,03:45,2,Verano
Base,04:00,2,Verano
Base,04:15,2,Verano
Base,04:30,2,Verano
Base,04:45,2,Verano
Base,05:00,2,Verano
Base,05:15,2,Verano
Base,05:30,2,Verano
Base,05:45,2,Verano
Punta,20:00,2,Verano
Punta,20:15,2,Verano
Punta,20:30,2,Verano
Punta,20:45,2,Verano
Punta,21:00,2,Verano
Punta,21:15,2,Verano
Punta,21:30,2,Verano
Punta,21:45,2,Verano
Base,12:00,3,Verano
Base,12:15,3,Verano
Base,12:30,3,Verano
Base,12:45,3,Verano
Base,01:00,3,Verano
Base,01:15,3,Verano
Base,01:30,3,Verano
Base,01:45,3,Verano
Base,02:00,3,Verano
Base,02:15,3,Verano
Base,02:30,3,Verano
Base,02:45,3,Verano
Base,03:00,3,Verano
Base,03:15,3,Verano
Base,03:30,3,Verano
Base,03:45,3,Verano
Base,04:00,3,Verano
Base,04:15,3,Verano
Base,04:30,3,Verano
Base,04:45,3,Verano
Base,05:00,3,Verano
Base,05:15,3,Verano
Base,05:30,3,Verano
Base,05:45,3,Verano
Punta,20:00,3,Verano
Punta,20:15,3,Verano
Punta,20:30,3,Verano
Punta,20:45,3,Verano
Punta,21:00,3,Verano
Punta,21:15,3,Verano
Punta,21:30,3,Verano
Punta,21:45,3,Verano
Base,12:00,4,Verano
Base,12:15,4,Verano
Base,12:30,4,Verano
Base,12:45,4,Verano
Base,01:00,4,Verano
Base,01:15,4,Verano
Base,01:30,4,Verano
Base,01:45,4,Verano
Base,02:00,4,Verano
Base,02:15,4,Verano
Base,02:30,4,Verano
Base,02:45,4,Verano
Base,03:00,4,Verano
Base,03:15,4,Verano
Base,03:30,4,Verano
Base,03:45,4,Verano
Base,04:00,4,Verano
Base,04:15,4,Verano
Base,04:30,4,Verano
Base,04:45,4,Verano
Base,05:00,4,Verano
Base,05:15,4,Verano
Base,05:30,4,Verano
Base,05:45,4,Verano
Punta,20:00,4,Verano
Punta,20:15,4,Verano
Punta,20:30,4,Verano
Punta,20:45,4,Verano
Punta,21:00,4,Verano
Punta,21:15,4,Verano
Punta,21:30,4,Verano
Punta,21:45,4,Verano
Base,12:00,5,Verano
Base,12:15,5,Verano
Base,12:30,5,Verano
Base,12:45,5,Verano
Base,01:00,5,Verano
Base,01:15,5,Verano
Base,01:30,5,Verano
Base,01:45,5,Verano
Base,02:00,5,Verano
Base,02:15,5,Verano
Base,02:30,5,Verano
Base,02:45,5,Verano
Base,03:00,5,Verano
Base,03:15,5,Verano
Base,03:30,5,Verano
Base,03:45,5,Verano
Base,04:00,5,Verano
Base,04:15,5,Verano
Base,04:30,5,Verano
Base,04:45,5,Verano
Base,05:00,5,Verano
Base,05:15,5,Verano
Base,05:30,5,Verano
Base,05:45,5,Verano
Punta,20:00,5,Verano
Punta,20:15,5,Verano
Punta,20:30,5,Verano
Punta,20:45,5,Verano
Punta,21:00,5,Verano
Punta,21:15,5,Verano
Punta,21:30,5,Verano
Punta,21:45,5,Verano
Base,12:00,6,Verano
Base,12:15,6,Verano
Base,12:30,6,Verano
Base,12:45,6,Verano
Base,01:00,6,Verano
Base,01:15,6,Verano
Base,01:30,6,Verano
Base,01:45,6,Verano
Base,02:00,6,Verano
Base,02:15,6,Verano
Base,02:30,6,Verano
Base,02:45,6,Verano
Base,03:00,6,Verano
Base,03:15,6,Verano
Base,03:30,6,Verano
Base,03:45,6,Verano
Base,04:00,6,Verano
Base,04:15,6,Verano
Base,04:30,6,Verano
Base,04:45,6,Verano
Base,05:00,6,Verano
Base,05:15,6,Verano
Base,05:30,6,Verano
Base,05:45,6,Verano
Base,06:00,6,Verano
Base,06:15,6,Verano
Base,06:30,6,Verano
Base,06:45,6,Verano
Base,12:00,0,Invierno
Base,12:15,0,Invierno
Base,12:30,0,Invierno
Base,12:45,0,Invierno
Base,01:00,0,Invierno
Base,01:15,0,Invierno
Base,01:30,0,Invierno
Base,01:45,0,Invierno
Base,02:00,0,Invierno
Base,02:15,0,Invierno
Base,02:30,0,Invierno
Base,02:45,0,Invierno
Base,03:00,0,Invierno
Base,03:15,0,Invierno
Base,03:30,0,Invierno
Base,03:45,0,Invierno
Base,04:00,0,Invierno
Base,04:15,0,Invierno
Base,04:30,0,Invierno
Base,04:45,0,Invierno
Base,05:00,0,Invierno
Base,05:15,0,Invierno
Base,05:30,0,Invierno
Base,05:45,0,Invierno
Base,06:00,0,Invierno
Base,06:15,0,Invierno
Base,06:30,0,Invierno
Base,06:45,0,Invierno
Base,07:00,0,Invierno
Base,07:15,0,Invierno
Base,07:30,0,Invierno
Base,07:45,0,Invierno
Base,08:00,0,Invierno
Base,08:15,0,Invierno
Base,08:30,0,Invierno
Base,08:45,0,Invierno
Base,09:00,0,Invierno
Base,09:15,0,Invierno
Base,09:30,0,Invierno
Base,09:45,0,Invierno
Base,10:00,0,Invierno
Base,10:15,0,Invierno
Base,10:30,0,Invierno
Base,10:45,0,Invierno
Base,11:00,0,Invierno
Base,11:15,0,Invierno
Base,11:30,0,Invierno
Base,11:45,0,Invierno
Base,00:00,0,Invierno
Base,00:15,0,Invierno
Base,00:30,0,Invierno
Base,00:45,0,Invierno
Base,13:00,0,Invierno
Base,13:15,0,Invierno
Base,13:30,0,Invierno
Base,13:45,0,Invierno
Base,14:00,0,Invierno
Base,14:15,0,Invierno
Base,14:30,0,Invierno
Base,14:45,0,Invierno
Base,15:00,0,Invierno
Base,15:15,0,Invierno
Base,15:30,0,Invierno
Base,15:45,0,Invierno
Base,16:00,0,Invierno
Base,16:15,0,Invierno
Base,16:30,0,Invierno
Base,16:45,0,Invierno
Base,17:00,0,Invierno
Base,17:15,0,Invierno
Base,17:30,0,Invierno
Base,17:45,0,Invierno
Base,12:00,1,Invierno
Base,12:15,1,Invierno
Base,12:30,1,Invierno
Base,12:45,1,Invierno
Base,01:00,1,Invierno
Base,01:15,1,Invierno
Base,01:30,1,Invierno
Base,01:45,1,Invierno
Base,02:00,1,Invierno
Base,02:15,1,Invierno
Base,02:30,1,Invierno
Base,02:45,1,Invierno
Base,03:00,1,Invierno
Base,03:15,1,Invierno
Base,03:30,1,Invierno
Base,03:45,1,Invierno
Base,04:00,1,Invierno
Base,04:15,1,Invierno
Base,04:30,1,Invierno
Base,04:45,1,Invierno
Base,05:00,1,Invierno
Base,05:15,1,Invierno
Base,05:30,1,Invierno
Base,05:45,1,Invierno
Punta,18:00,1,Invierno
Punta,18:15,1,Invierno
Punta,18:30,1,Invierno
Punta,18:45,1,Invierno
Punta,19:00,1,Invierno
Punta,19:15,1,Invierno
Punta,19:30,1,Invierno
Punta,19:45,1,Invierno
Punta,20:00,1,Invierno
Punta,20:15,1,Invierno
Punta,20:30,1,Invierno
Punta,20:45,1,Invierno
Punta,21:00,1,Invierno
Punta,21:15,1,Invierno
Punta,21:30,1,Invierno
Punta,21:45,1,Invierno
Base,12:00,2,Invierno
Base,12:15,2,Invierno
Base,12:30,2,Invierno
Base,12:45,2,Invierno
Base,01:00,2,Invierno
Base,01:15,2,Invierno
Base,01:30,2,Invierno
Base,01:45,2,Invierno
Base,02:00,2,Invierno
Base,02:15,2,Invierno
Base,02:30,2,Invierno
Base,02:45,2,Invierno
Base,03:00,2,Invierno
Base,03:15,2,Invierno
Base,03:30,2,Invierno
Base,03:45,2,Invierno
Base,04:00,2,Invierno
Base,04:15,2,Invierno
Base,04:30,2,Invierno
Base,04:45,2,Invierno
Base,05:00,2,Invierno
Base,05:15,2,Invierno
Base,05:30,2,Invierno
Base,05:45,2,Invierno
Punta,18:00,2,Invierno
Punta,18:15,2,Invierno
Punta,18:30,2,Invierno
Punta,18:45,2,Invierno
Punta,19:00,2,Invierno
Punta,19:15,2,Invierno
Punta,19:30,2,Invierno
Punta,19:45,2,Invierno
Punta,20:00,2,Invierno
Punta,20:15,2,Invierno
Punta,20:30,2,Invierno
Punta,20:45,2,Invierno
Punta,21:00,2,Invierno
Punta,21:15,2,Invierno
Punta,21:30,2,Invierno
Punta,21:45,2,Invierno
Base,12:00,3,Invierno
Base,12:15,3,Invierno
Base,12:30,3,Invierno
Base,12:45,3,Invierno
Base,01:00,3,Invierno
Base,01:15,3,Invierno
Base,01:30,3,Invierno
Base,01:45,3,Invierno
Base,02:00,3,Invierno
Base,02:15,3,Invierno
Base,02:30,3,Invierno
Base,02:45,3,Invierno
Base,03:00,3,Invierno
Base,03:15,3,Invierno
Base,03:30,3,Invierno
Base,03:45,3,Invierno
Base,04:00,3,Invierno
Base,04:15,3,Invierno
Base,04:30,3,Invierno
Base,04:45,3,Invierno
Base,05:00,3,Invierno
Base,05:15,3,Invierno
Base,05:30,3,Invierno
Base,05:45,3,Invierno
Punta,18:00,3,Invierno
Punta,18:15,3,Invierno
Punta,18:30,3,Invierno
Punta,18:45,3,Invierno
Punta,19:00,3,Invierno
Punta,19:15,3,Invierno
Punta,19:30,3,Invierno
Punta,19:45,3,Invierno
Punta,20:00,3,Invierno
Punta,20:15,3,Invierno
Punta,20:30,3,Invierno
Punta,20:45,3,Invierno
Punta,21:00,3,Invierno
Punta,21:15,3,Invierno
Punta,21:30,3,Invierno
Punta,21:45,3,Invierno
Base,12:00,4,Invierno
Base,12:15,4,Invierno
Base,12:30,4,Invierno
Base,12:45,4,Invierno
Base,01:00,4,Invierno
Base,01:15,4,Invierno
Base,01:30,4,Invierno
Base,01:45,4,Invierno
Base,02:00,4,Invierno
Base,02:15,4,Invierno
Base,02:30,4,Invierno
Base,02:45,4,Invierno
Base,03:00,4,Invierno
Base,03:15,4,Invierno
Base,03:30,4,Invierno
Base,03:45,4,Invierno
Base,04:00,4,Invierno
Base,04:15,4,Invierno
Base,04:30,4,Invierno
Base,04:45,4,Invierno
Base,05:00,4,Invierno
Base,05:15,4,Invierno
Base,05:30,4,Invierno
Base,05:45,4,Invierno
Punta,18:00,4,Invierno
Punta,18:15,4,Invierno
Punta,18:30,4,Invierno
Punta,18:45,4,Invierno
Punta,19:00,4,Invierno
Punta,19:15,4,Invierno
Punta,19:30,4,Invierno
Punta,19:45,4,Invierno
Punta,20:00,4,Invierno
Punta,20:15,4,Invierno
Punta,20:30,4,Invierno
Punta,20:45,4,Invierno
Punta,21:00,4,Invierno
Punta,21:15,4,Invierno
Punta,21:30,4,Invierno
Punta,21:45,4,Invierno
Base,12:00,5,Invierno
Base,12:15,5,Invierno
Base,12:30,5,Invierno
Base,12:45,5,Invierno
Base,01:00,5,Invierno
Base,01:15,5,Invierno
Base,01:30,5,Invierno
Base,01:45,5,Invierno
Base,02:00,5,Invierno
Base,02:15,5,Invierno
Base,02:30,5,Invierno
Base,02:45,5,Invierno
Base,03:00,5,Invierno
Base,03:15,5,Invierno
Base,03:30,5,Invierno
Base,03:45,5,Invierno
Base,04:00,5,Invierno
Base,04:15,5,Invierno
Base,04:30,5,Invierno
Base,04:45,5,Invierno
Base,05:00,5,Invierno
Base,05:15,5,Invierno
Base,05:30,5,Invierno
Base,05:45,5,Invierno
Punta,18:00,5,Invierno
Punta,18:15,5,Invierno
Punta,18:30,5,Invierno
Punta,18:45,5,Invierno
Punta,19:00,5,Invierno
Punta,19:15,5,Invierno
Punta,19:30,5,Invierno
Punta,19:45,5,Invierno
Punta,20:00,5,Invierno
Punta,20:15,5,Invierno
Punta,20:30,5,Invierno
Punta,20:45,5,Invierno
Punta,21:00,5,Invierno
Punta,21:15,5,Invierno
Punta,21:30,5,Invierno
Punta,21:45,5,Invierno
Base,12:00,6,Invierno
Base,12:15,6,Invierno
Base,12:30,6,Invierno
Base,12:45,6,Invierno
Base,01:00,6,Invierno
Base,01:15,6,Invierno
Base,01:30,6,Invierno
Base,01:45,6,Invierno
Base,02:00,6,Invierno
Base,02:15,6,Invierno
Base,02:30,6,Invierno
Base,02:45,6,Invierno
Base,03:00,6,Invierno
Base,03:15,6,Invierno
Base,03:30,6,Invierno
Base,03:45,6,Invierno
Base,04:00,6,Invierno
Base,04:15,6,Invierno
Base,04:30,6,Invierno
Base,04:45,6,Invierno
Base,05:00,6,Invierno
Base,05:15,6,Invierno
Base,05:30,6,Invierno
Base,05:45,6,Invierno
Base,06:00,6,Invierno
Base,06:15,6,Invierno
Base,06:30,6,Invierno
Base,06:45,6,Invierno
Base,07:00,6,Invierno
Base,07:15,6,Invierno
Base,07:30,6,Invierno
Base,07:45,6,Invierno
Punta,19:00,6,Invierno
Punta,19:15,6,Invierno
Punta,19:30,6,Invierno
Punta,19:45,6,Invierno
Punta,20:00,6,Invierno
Punta,20:15,6,Invierno
Punta,20:30,6,Invierno
Punta,20:45,6,Invierno
Intermedia,19:00,0,Verano
Intermedia,19:15,0,Verano
Intermedia,19:30,0,Verano
Intermedia,19:45,0,Verano
Intermedia,20:00,0,Verano
Intermedia,20:15,0,Verano
Intermedia,20:30,0,Verano
Intermedia,20:45,0,Verano
Intermedia,21:00,0,Verano
Intermedia,21:15,0,Verano
Intermedia,21:30,0,Verano
Intermedia,21:45,0,Verano
Intermedia,22:00,0,Verano
Intermedia,22:15,0,Verano
Intermedia,22:30,0,Verano
Intermedia,22:45,0,Verano
Intermedia,23:00,0,Verano
Intermedia,23:15,0,Verano
Intermedia,23:30,0,Verano
Intermedia,23:45,0,Verano
Intermedia,06:00,1,Verano
Intermedia,06:15,1,Verano
Intermedia,06:30,1,Verano
Intermedia,06:45,1,Verano
Intermedia,07:00,1,Verano
Intermedia,07:15,1,Verano
Intermedia,07:30,1,Verano
Intermedia,07:45,1,Verano
Intermedia,08:00,1,Verano
Intermedia,08:15,1,Verano
Intermedia,08:30,1,Verano
Intermedia,08:45,1,Verano
Intermedia,09:00,1,Verano
Intermedia,09:15,1,Verano
Intermedia,09:30,1,Verano
Intermedia,09:45,1,Verano
Intermedia,10:00,1,Verano
Intermedia,10:15,1,Verano
Intermedia,10:30,1,Verano
Intermedia,10:45,1,Verano
Intermedia,11:00,1,Verano
Intermedia,11:15,1,Verano
Intermedia,11:30,1,Verano
Intermedia,11:45,1,Verano
Intermedia,00:00,1,Verano
Intermedia,00:15,1,Verano
Intermedia,00:30,1,Verano
Intermedia,00:45,1,Verano
Intermedia,13:00,1,Verano
Intermedia,13:15,1,Verano
Intermedia,13:30,1,Verano
Intermedia,13:45,1,Verano
Intermedia,14:00,1,Verano
Intermedia,14:15,1,Verano
Intermedia,14:30,1,Verano
Intermedia,14:45,1,Verano
Intermedia,15:00,1,Verano
Intermedia,15:15,1,Verano
Intermedia,15:30,1,Verano
Intermedia,15:45,1,Verano
Intermedia,16:00,1,Verano
Intermedia,16:15,1,Verano
Intermedia,16:30,1,Verano
Intermedia,16:45,1,Verano
Intermedia,17:00,1,Verano
Intermedia,17:15,1,Verano
Intermedia,17:30,1,Verano
Intermedia,17:45,1,Verano
Intermedia,18:00,1,Verano
Intermedia,18:15,1,Verano
Intermedia,18:30,1,Verano
Intermedia,18:45,1,Verano
Intermedia,19:00,1,Verano
Intermedia,19:15,1,Verano
Intermedia,19:30,1,Verano
Intermedia,19:45,1,Verano
Intermedia,22:00,1,Verano
Intermedia,22:15,1,Verano
Intermedia,22:30,1,Verano
Intermedia,22:45,1,Verano
Intermedia,23:00,1,Verano
Intermedia,23:15,1,Verano
Intermedia,23:30,1,Verano
Intermedia,23:45,1,Verano
Intermedia,06:00,2,Verano
Intermedia,06:15,2,Verano
Intermedia,06:30,2,Verano
Intermedia,06:45,2,Verano
Intermedia,07:00,2,Verano
Intermedia,07:15,2,Verano
Intermedia,07:30,2,Verano
Intermedia,07:45,2,Verano
Intermedia,08:00,2,Verano
Intermedia,08:15,2,Verano
Intermedia,08:30,2,Verano
Intermedia,08:45,2,Verano
Intermedia,09:00,2,Verano
Intermedia,09:15,2,Verano
Intermedia,09:30,2,Verano
Intermedia,09:45,2,Verano
Intermedia,10:00,2,Verano
Intermedia,10:15,2,Verano
Intermedia,10:30,2,Verano
Intermedia,10:45,2,Verano
Intermedia,11:00,2,Verano
Intermedia,11:15,2,Verano
Intermedia,11:30,2,Verano
Intermedia,11:45,2,Verano
Intermedia,00:00,2,Verano
Intermedia,00:15,2,Verano
Intermedia,00:30,2,Verano
Intermedia,00:45,2,Verano
Intermedia,13:00,2,Verano
Intermedia,13:15,2,Verano
Intermedia,13:30,2,Verano
Intermedia,13:45,2,Verano
Intermedia,14:00,2,Verano
Intermedia,14:15,2,Verano
Intermedia,14:30,2,Verano
Intermedia,14:45,2,Verano
Intermedia,15:00,2,Verano
Intermedia,15:15,2,Verano
Intermedia,15:30,2,Verano
Intermedia,15:45,2,Verano
Intermedia,16:00,2,Verano
Intermedia,16:15,2,Verano
Intermedia,16:30,2,Verano
Intermedia,16:45,2,Verano
Intermedia,17:00,2,Verano
Intermedia,17:15,2,Verano
Intermedia,17:30,2,Verano
Intermedia,17:45,2,Verano
Intermedia,18:00,2,Verano
Intermedia,18:15,2,Verano
Intermedia,18:30,2,Verano
Intermedia,18:45,2,Verano
Intermedia,19:00,2,Verano
Intermedia,19:15,2,Verano
Intermedia,19:30,2,Verano
Intermedia,19:45,2,Verano
Intermedia,22:00,2,Verano
Intermedia,22:15,2,Verano
Intermedia,22:30,2,Verano
Intermedia,22:45,2,Verano
Intermedia,23:00,2,Verano
Intermedia,23:15,2,Verano
Intermedia,23:30,2,Verano
Intermedia,23:45,2,Verano
Intermedia,06:00,3,Verano
Intermedia,06:15,3,Verano
Intermedia,06:30,3,Verano
Intermedia,06:45,3,Verano
Intermedia,07:00,3,Verano
Intermedia,07:15,3,Verano
Intermedia,07:30,3,Verano
Intermedia,07:45,3,Verano
Intermedia,08:00,3,Verano
Intermedia,08:15,3,Verano
Intermedia,08:30,3,Verano
Intermedia,08:45,3,Verano
Intermedia,09:00,3,Verano
Intermedia,09:15,3,Verano
Intermedia,09:30,3,Verano
Intermedia,09:45,3,Verano
Intermedia,10:00,3,Verano
Intermedia,10:15,3,Verano
Intermedia,10:30,3,Verano
Intermedia,10:45,3,Verano
Intermedia,11:00,3,Verano
Intermedia,11:15,3,Verano
Intermedia,11:30,3,Verano
Intermedia,11:45,3,Verano
Intermedia,00:00,3,Verano
Intermedia,00:15,3,Verano
Intermedia,00:30,3,Verano
Intermedia,00:45,3,Verano
Intermedia,13:00,3,Verano
Intermedia,13:15,3,Verano
Intermedia,13:30,3,Verano
Intermedia,13:45,3,Verano
Intermedia,14:00,3,Verano
Intermedia,14:15,3,Verano
Intermedia,14:30,3,Verano
Intermedia,14:45,3,Verano
Intermedia,15:00,3,Verano
Intermedia,15:15,3,Verano
Intermedia,15:30,3,Verano
Intermedia,15:45,3,Verano
Intermedia,16:00,3,Verano
Intermedia,16:15,3,Verano
Intermedia,16:30,3,Verano
Intermedia,16:45,3,Verano
Intermedia,17:00,3,Verano
Intermedia,17:15,3,Verano
Intermedia,17:30,3,Verano
Intermedia,17:45,3,Verano
Intermedia,18:00,3,Verano
Intermedia,18:15,3,Verano
Intermedia,18:30,3,Verano
Intermedia,18:45,3,Verano
Intermedia,19:00,3,Verano
Intermedia,19:15,3,Verano
Intermedia,19:30,3,Verano
Intermedia,19:45,3,Verano
Intermedia,22:00,3,Verano
Intermedia,22:15,3,Verano
Intermedia,22:30,3,Verano
Intermedia,22:45,3,Verano
Intermedia,23:00,3,Verano
Intermedia,23:15,3,Verano
Intermedia,23:30,3,Verano
Intermedia,23:45,3,Verano
Intermedia,06:00,4,Verano
Intermedia,06:15,4,Verano
Intermedia,06:30,4,Verano
Intermedia,06:45,4,Verano
Intermedia,07:00,4,Verano
Intermedia,07:15,4,Verano
Intermedia,07:30,4,Verano
Intermedia,07:45,4,Verano
Intermedia,08:00,4,Verano
Intermedia,08:15,4,Verano
Intermedia,08:30,4,Verano
Intermedia,08:45,4,Verano
Intermedia,09:00,4,Verano
Intermedia,09:15,4,Verano
Intermedia,09:30,4,Verano
Intermedia,09:45,4,Verano
Intermedia,10:00,4,Verano
Intermedia,10:15,4,Verano
Intermedia,10:30,4,Verano
Intermedia,10:45,4,Verano
Intermedia,11:00,4,Verano
Intermedia,11:15,4,Verano
Intermedia,11:30,4,Verano
Intermedia,11:45,4,Verano
Intermedia,00:00,4,Verano
Intermedia,00:15,4,Verano
Intermedia,00:30,4,Verano
Intermedia,00:45,4,Verano
Intermedia,13:00,4,Verano
Intermedia,13:15,4,Verano
Intermedia,13:30,4,Verano
Intermedia,13:45,4,Verano
Intermedia,14:00,4,Verano
Intermedia,14:15,4,Verano
Intermedia,14:30,4,Verano
Intermedia,14:45,4,Verano
Intermedia,15:00,4,Verano
Intermedia,15:15,4,Verano
Intermedia,15:30,4,Verano
Intermedia,15:45,4,Verano
Intermedia,16:00,4,Verano
Intermedia,16:15,4,Verano
Intermedia,16:30,4,Verano
Intermedia,16:45,4,Verano
Intermedia,17:00,4,Verano
Intermedia,17:15,4,Verano
Intermedia,17:30,4,Verano
Intermedia,17:45,4,Verano
Intermedia,18:00,4,Verano
Intermedia,18:15,4,Verano
Intermedia,18:30,4,Verano
Intermedia,18:45,4,Verano
Intermedia,19:00,4,Verano
Intermedia,19:15,4,Verano
Intermedia,19:30,4,Verano
Intermedia,19:45,4,Verano
Intermedia,22:00,4,Verano
Intermedia,22:15,4,Verano
Intermedia,22:30,4,Verano
Intermedia,22:45,4,Verano
Intermedia,23:00,4,Verano
Intermedia,23:15,4,Verano
Intermedia,23:30,4,Verano
Intermedia,23:45,4,Verano
Intermedia,06:00,5,Verano
Intermedia,06:15,5,Verano
Intermedia,06:30,5,Verano
Intermedia,06:45,5,Verano
Intermedia,07:00,5,Verano
Intermedia,07:15,5,Verano
Intermedia,07:30,5,Verano
Intermedia,07:45,5,Verano
Intermedia,08:00,5,Verano
Intermedia,08:15,5,Verano
Intermedia,08:30,5,Verano
Intermedia,08:45,5,Verano
Intermedia,09:00,5,Verano
Intermedia,09:15,5,Verano
Intermedia,09:30,5,Verano
Intermedia,09:45,5,Verano
Intermedia,10:00,5,Verano
Intermedia,10:15,5,Verano
Intermedia,10:30,5,Verano
Intermedia,10:45,5,Verano
Intermedia,11:00,5,Verano
Intermedia,11:15,5,Verano
Intermedia,11:30,5,Verano
Intermedia,11:45,5,Verano
Intermedia,00:00,5,Verano
Intermedia,00:15,5,Verano
Intermedia,00:30,5,Verano
Intermedia,00:45,5,Verano
Intermedia,13:00,5,Verano
Intermedia,13:15,5,Verano
Intermedia,13:30,5,Verano
Intermedia,13:45,5,Verano
Intermedia,14:00,5,Verano
Intermedia,14:15,5,Verano
Intermedia,14:30,5,Verano
Intermedia,14:45,5,Verano
Intermedia,15:00,5,Verano
Intermedia,15:15,5,Verano
Intermedia,15:30,5,Verano
Intermedia,15:45,5,Verano
Intermedia,16:00,5,Verano
Intermedia,16:15,5,Verano
Intermedia,16:30,5,Verano
Intermedia,16:45,5,Verano
Intermedia,17:00,5,Verano
Intermedia,17:15,5,Verano
Intermedia,17:30,5,Verano
Intermedia,17:45,5,Verano
Intermedia,18:00,5,Verano
Intermedia,18:15,5,Verano
Intermedia,18:30,5,Verano
Intermedia,18:45,5,Verano
Intermedia,19:00,5,Verano
Intermedia,19:15,5,Verano
Intermedia,19:30,5,Verano
Intermedia,19:45,5,Verano
Intermedia,22:00,5,Verano
Intermedia,22:15,5,Verano
Intermedia,22:30,5,Verano
Intermedia,22:45,5,Verano
Intermedia,23:00,5,Verano
Intermedia,23:15,5,Verano
Intermedia,23:30,5,Verano
Intermedia,23:45,5,Verano
Intermedia,07:00,6,Verano
Intermedia,07:15,6,Verano
Intermedia,07:30,6,Verano
Intermedia,07:45,6,Verano
Intermedia,08:00,6,Verano
Intermedia,08:15,6,Verano
Intermedia,08:30,6,Verano
Intermedia,08:45,6,Verano
Intermedia,09:00,6,Verano
Intermedia,09:15,6,Verano
Intermedia,09:30,6,Verano
Intermedia,09:45,6,Verano
Intermedia,10:00,6,Verano
Intermedia,10:15,6,Verano
Intermedia,10:30,6,Verano
Intermedia,10:45,6,Verano
Intermedia,11:00,6,Verano
Intermedia,11:15,6,Verano
Intermedia,11:30,6,Verano
Intermedia,11:45,6,Verano
Intermedia,00:00,6,Verano
Intermedia,00:15,6,Verano
Intermedia,00:30,6,Verano
Intermedia,00:45,6,Verano
Intermedia,13:00,6,Verano
Intermedia,13:15,6,Verano
Intermedia,13:30,6,Verano
Intermedia,13:45,6,Verano
Intermedia,14:00,6,Verano
Intermedia,14:15,6,Verano
Intermedia,14:30,6,Verano
Intermedia,14:45,6,Verano
Intermedia,15:00,6,Verano
Intermedia,15:15,6,Verano
Intermedia,15:30,6,Verano
Intermedia,15:45,6,Verano
